,T1,F1,F2,F3,F4,F5,F6,T2,T3,F7,F8,F9,F10
0.0,1.85714285714285,2030.0,6.606294504174191,30.0,22.2678571428571,100.0,5.351858133476067,70.0,3000.0,220.0,0.0,4.0,57.0
1.0,1.85714285714285,2030.0,6.606294504174191,50.0,23.75,284.615384615384,5.351858133476067,70.0,3000.0,220.0,0.0,4.0,60.0
2.0,1.85714285714285,2030.0,6.606294504174191,49.9,33.0,284.615384615384,5.351858133476067,70.0,3000.0,220.0,0.0,4.0,70.0
3.0,1.85714285714285,2030.0,6.606294504174191,129.0,21.25,300.0,5.351858133476067,70.0,3000.0,220.0,0.0,5.0,47.0
4.0,2.77133105802047,2030.0,6.625392368007956,111.86,22.2678571428571,284.615384615384,5.351858133476067,70.0,3000.0,220.0,0.0,5.0,57.0
5.0,2.7679180887372,2000.0,6.618738983517219,111.86,22.2678571428571,284.615384615384,5.351858133476067,70.0,3000.0,220.0,0.0,5.0,60.0
6.0,2.56962025316455,1910.0,6.694562058521095,111.86,22.2678571428571,284.615384615384,5.351858133476067,70.0,3000.0,220.0,0.0,5.0,70.0
7.0,2.56147540983606,1900.0,6.284134161070802,111.86,22.2678571428571,284.615384615384,5.942799375126701,75.0,1800.0,120.0,0.0,7.0,47.0
8.0,3.55701754385964,1930.0,6.7912214627261855,129.0,21.25,300.0,5.942799375126701,75.0,1800.0,120.0,0.0,7.0,57.0
9.0,3.53233830845771,2100.0,7.259819610363186,129.0,21.25,300.0,6.918695219020472,78.0,2000.0,300.0,0.0,7.0,60.0
10.0,2.91967783631954,2160.0,6.839476438228843,129.0,21.25,300.0,6.918695219020472,78.0,2000.0,300.0,0.0,7.0,70.0
11.0,2.87735849056603,1990.0,7.395721608602045,129.0,21.25,300.0,6.918695219020472,78.0,2000.0,300.0,0.0,9.0,47.0
12.0,1.59817351598173,1950.0,6.71901315438526,129.0,21.25,300.0,6.154858094016418,73.3333333333333,2455.55555555555,220.0,0.0,9.0,57.0
13.0,2.91967783631954,1980.0,6.343880434126331,129.0,21.25,300.0,6.154858094016418,73.3333333333333,2455.55555555555,220.0,0.0,9.0,60.0
14.0,4.02912621359223,1910.0,6.68586094706836,129.0,21.25,300.0,6.154858094016418,73.3333333333333,2455.55555555555,220.0,0.0,9.0,70.0
15.0,2.93478260869565,2030.0,5.713732805509369,129.0,21.25,300.0,5.351858133476067,70.0,3000.0,220.0,0.0,10.0,47.0
16.0,3.55701754385964,1880.0,5.749392985908253,129.0,21.25,300.0,5.351858133476067,70.0,3000.0,220.0,0.0,10.0,57.0
17.0,4.19354838709677,1950.0,6.2285110035911835,129.0,21.25,300.0,5.942799375126701,75.0,1800.0,120.0,0.0,10.0,60.0
18.0,4.89795918367346,1890.0,6.293419278846481,129.0,21.25,300.0,5.942799375126701,75.0,1800.0,120.0,0.0,10.0,70.0
20.0,2.87735849056603,2000.0,5.327876168789581,111.86,22.2678571428571,284.615384615384,6.918695219020472,78.0,2000.0,300.0,1.0,4.0,47.0
21.0,1.59817351598173,1920.0,6.124683390894205,111.86,22.2678571428571,284.615384615384,6.154858094016418,73.3333333333333,2455.55555555555,220.0,1.0,4.0,57.0
22.0,4.02912621359223,1880.0,6.434546518787453,111.86,22.2678571428571,284.615384615384,6.154858094016418,73.3333333333333,2455.55555555555,220.0,1.0,4.0,60.0
23.0,2.58734764319625,1953.27492638743,7.036672661206574,137.62741961242,22.3445335715259,234.716882964809,6.322373934942441,80.8032217605356,2587.34298289064,246.613116536634,1.0,4.0,70.0
24.0,2.49991792788794,1942.59577668332,6.805190791606643,146.252207766867,23.0817574798037,351.231873967312,6.763567865010122,76.1780750811993,3705.67252336168,226.222760364565,1.0,5.0,47.0
25.0,2.04647146357792,2037.63181118987,6.563250106362599,101.617251334785,23.146392813099,312.307205242628,6.307371799871894,73.8170666194231,2624.02640716719,178.198555892297,1.0,5.0,57.0
26.0,1.85647616956086,2018.22033158733,6.730175719002299,135.401696554643,26.4355145955444,327.51037669861,5.023626860389703,77.210761575252,2473.18719456744,123.34456143249,1.0,5.0,60.0
27.0,3.3055354218421,1917.90750636706,6.1722980125339255,105.786929571358,17.8740999097888,328.15457946162,6.268513082249179,72.3457087941471,3059.03299121234,275.5758795221,1.0,5.0,70.0
28.0,2.70955409454249,1892.07112380677,6.464670152995432,96.5632931903446,22.9892905613243,262.956721990283,6.691578181419736,74.511359223088,2288.96737657892,126.816338870833,1.0,7.0,47.0
29.0,2.28282531370928,2008.35759183338,5.978803041113484,149.372832370371,21.6617506765061,330.498640996826,6.28482694178318,72.2449240783816,2704.44508096151,261.077071612965,1.0,7.0,57.0
30.0,1.97814017317886,1973.62909661136,6.900452775044157,149.372127890098,19.750577886982,232.058191344622,6.187141887980484,75.6657005566096,2448.94307925134,162.493693621344,1.0,7.0,60.0
31.0,1.77143639306974,1872.49155988411,6.6871508545306275,79.7945478731184,22.2963037219206,340.736898443345,6.763803131210509,70.9475915609757,2796.78540176497,123.356264267511,1.0,7.0,70.0
32.0,3.27708698694618,2010.04701192391,5.8305631990826985,67.4989930617371,24.2806090209505,254.949083669843,4.775210251467843,67.4787066266392,2462.60538586832,207.018581295981,1.0,9.0,47.0
33.0,2.98436222584574,1912.31543664458,7.0767313846351385,133.549000743282,23.2637965673584,314.996125461987,5.935922791905107,75.2904522177158,2303.7706561607,200.580249351275,1.0,9.0,57.0
34.0,2.91614962097909,1879.9698456543,6.912016365181466,109.239530469489,25.6827594776929,294.048536607078,6.014580892034235,71.7008556184055,3086.54619576288,192.191162092306,1.0,9.0,60.0
35.0,3.24761721067416,1813.23459997756,6.631836386896536,81.3798708371328,23.4224652380694,279.080157491732,6.356216781687861,69.341132877179,3188.13635771731,252.87056880778,1.0,9.0,70.0
36.0,2.42387567266603,1908.94060108184,6.275192599644259,58.2624142792189,24.0735492275228,325.138687978497,6.126668392554572,74.2443541741854,1890.50580698778,222.699487259763,1.0,10.0,47.0
37.0,5.09899308958125,1977.33904724926,7.360800957952127,132.343059816683,25.3970009790122,286.55643085455,6.538667666685816,72.3416397334948,1386.57897293013,271.901393688095,1.0,10.0,57.0
38.0,2.44417698589548,2085.49583722341,6.837666059650207,110.564839894065,23.4871397611806,270.286765096589,5.632035887580383,71.4790604659631,2740.22963128366,187.861372739767,1.0,10.0,60.0
39.0,2.66769692914197,2078.89467612972,7.341593021816597,132.147403310926,22.6501091996101,357.972896225409,6.669877734832827,76.4717884703426,2559.64304741812,163.902778015018,1.0,10.0,70.0
40.0,3.03439948276313,1968.40138797479,6.124401116521803,61.4212965247638,23.4907229119055,316.414572148037,6.458928849767113,75.0903717369656,2848.49007846398,311.052397919637,0.0,7.85616654701846,64.3019638481212
42.0,2.66438864884511,1996.15914531562,6.2654110434107775,77.506882539453,18.1261070575147,223.408685433481,3.3897353542632835,69.4897734806242,2220.58744458909,314.776668711928,0.0,6.6757803392663,78.6232993394774
43.0,1.19352958197572,1965.92922694261,6.803065317365747,102.959068581182,19.5667162363837,225.810222871408,6.770891431117109,73.4546945165033,2335.54179171276,91.047646334499,0.0,7.5263983201197,38.176975316573
44.0,2.91433327547696,2049.3734037036,5.948722373072592,81.3520473688647,16.3915947268609,233.296062693547,6.3332656508461485,69.8146151618113,2262.78436556029,303.075452369361,0.0,8.32569922025696,46.0454276299509
45.0,4.31566578217077,1913.37967697839,6.71407190305996,143.576937132067,24.2755880964038,274.988794415536,5.5678074934981945,75.9573285670879,1639.91252544902,248.244329856063,0.0,7.65621087508853,33.5710235584788
46.0,2.33842428819444,1963.35156013111,7.05285988396597,150.015829771817,18.2994213764344,315.904178072587,6.469813169301181,71.303989767743,3407.71358118161,304.423274095783,0.0,10.3029447225773,39.2342797929543
47.0,1.29816724555935,1984.51137289759,7.24906353295497,130.942797937247,21.8292399010645,288.95209880887,5.087643979158832,74.6809132551444,2526.81425574501,228.867719644237,0.0,8.94689112067868,72.0845940916646
48.0,2.13444614423682,1986.34905262266,6.697396902280502,95.0890218408534,19.3649257190022,205.499760973999,5.285017527808988,76.340207250164,2459.52452600309,289.957141572361,0.0,3.74662497721847,57.997772182102
49.0,4.14796643221644,1991.78978866553,7.13185699119418,116.856462171446,21.5732649493152,320.740172497546,6.628703267087276,70.3554640267673,1795.71935925029,189.88330728957,0.0,9.09436367744417,44.8016005719315
50.0,3.05783014692351,1987.25985886021,6.002392692426841,112.719826048096,19.3905110709324,336.245383730252,5.868822177661661,73.0164888868577,2016.50363680435,206.693378878874,0.0,6.30377284560279,72.1520187318852
51.0,4.18212858438216,1940.73923718186,5.855048284132675,111.969772877024,18.8002833612162,304.190488336488,5.442107432570616,72.7694732165961,2097.66945238521,226.422645257059,0.0,7.2579618310852,50.2198355345044
52.0,1.84692315458134,1956.0872973781,6.435705971581788,115.70972016857,21.0433175526934,236.883671599211,5.977354052697273,64.6964003954224,2436.27365928317,188.274123032686,0.0,6.54799294442016,74.2188766056854
53.0,1.30102504367318,2057.93919253743,6.846793297158162,136.323974578022,23.3292718838398,292.625715602231,6.263107265296391,69.3828660743641,2561.54464642705,219.321971333448,0.0,6.1461253214983,70.3554043303719
54.0,3.63193481154382,2065.51787986419,6.318284882299115,120.69587752402,24.431893660076,308.978564926445,5.460273253663324,69.8021906297403,2320.81868146872,266.13830124966,0.0,10.0507182797683,74.1566656499943
